"","id","missed_votes","last_name","first_name","swing","combined_name","state","diff12"
"261",412564,9,"Wenstrup","Brad",FALSE,"Wenstrup, Brad","OH",NA
"262",412565,9,"Beatty","Joyce",FALSE,"Beatty, Joyce","OH",NA
"263",400361,8,"Schiff","Adam",FALSE,"Schiff, Adam","CA",NA
"264",400367,8,"Sessions","Pete",FALSE,"Sessions, Pete","TX",NA
"265",400663,8,"Matsui","Doris",FALSE,"Matsui, Doris","CA",NA
"266",412202,8,"Roskam","Peter",FALSE,"Roskam, Peter","IL",NA
"267",412302,8,"Olson","Pete",FALSE,"Olson, Pete","TX",NA
"268",412310,8,"Roe","David",FALSE,"Roe, David","TN",NA
"269",412382,8,"Garamendi","John",FALSE,"Garamendi, John","CA",NA
"270",412407,8,"Carney","John",FALSE,"Carney, John","DE",NA
"271",412442,8,"Nunnelee","Alan",FALSE,"Nunnelee, Alan","MS",NA
"272",412519,8,"Ruiz","Raul",TRUE,"Ruiz, Raul","CA",3.2
"273",412538,8,"Walorski","Jackie",FALSE,"Walorski, Jackie","IN",NA
"274",412581,8,"Stewart","Chris",FALSE,"Stewart, Chris","UT",NA
"275",400245,7,"Lofgren","Zoe",FALSE,"Lofgren, Zoe","CA",NA
"276",400285,7,"Murphy","Tim",FALSE,"Murphy, Tim","PA",NA
"277",400371,7,"Sherman","Brad",FALSE,"Sherman, Brad","CA",NA
"278",400646,7,"Fitzpatrick","Michael",TRUE,"Fitzpatrick, Michael","PA",-0.100000000000001
"279",400655,7,"Conaway","K.",FALSE,"Conaway, K.","TX",NA
"280",409888,7,"Shuster","Bill",FALSE,"Shuster, Bill","PA",NA
"281",410396,7,"Stockman","Steve",FALSE,"Stockman, Steve","TX",NA
"282",412258,7,"Carson","André",FALSE,"Carson, André","IN",NA
"283",412388,7,"Graves","Tom",FALSE,"Graves, Tom","GA",NA
"284",412394,7,"Roby","Martha",FALSE,"Roby, Martha","AL",NA
"285",412406,7,"Gardner","Cory",FALSE,"Gardner, Cory","CO",NA
"286",412428,7,"Young","Todd",FALSE,"Young, Todd","IN",NA
"287",412430,7,"Yoder","Kevin",FALSE,"Yoder, Kevin","KS",NA
"288",412449,7,"Runyan","Jon",TRUE,"Runyan, Jon","NJ",4.59999999999999
"289",412468,7,"Marino","Tom",FALSE,"Marino, Tom","PA",NA
"290",412474,7,"Mulvaney","Mick",FALSE,"Mulvaney, Mick","SC",NA
"291",412483,7,"Rigell","E.",TRUE,"Rigell, E.","VA",1.5
"292",412484,7,"Hurt","Robert",FALSE,"Hurt, Robert","VA",NA
"293",412549,7,"Daines","Steve",FALSE,"Daines, Steve","MT",NA
"294",412563,7,"Collins","Chris",FALSE,"Collins, Chris","NY",NA
"295",412568,7,"Mullin","Markwayne",FALSE,"Mullin, Markwayne","OK",NA
"296",412576,7,"Castro","Joaquin",FALSE,"Castro, Joaquin","TX",NA
"297",412579,7,"Veasey","Marc",FALSE,"Veasey, Marc","TX",NA
"298",400010,6,"Bachus","Spencer",FALSE,"Bachus, Spencer","AL",NA
"299",400062,6,"Capps","Lois",FALSE,"Capps, Lois","CA",NA
"300",400355,6,"Sánchez","Linda",FALSE,"Sánchez, Linda","CA",NA
"301",400441,6,"Neugebauer","Randy",FALSE,"Neugebauer, Randy","TX",NA
"302",412209,6,"Loebsack","David",FALSE,"Loebsack, David","IA",NA
"303",412214,6,"Walz","Timothy",TRUE,"Walz, Timothy","MN",1.4
"304",412280,6,"Harper","Gregg",FALSE,"Harper, Gregg","MS",NA
"305",412524,6,"Esty","Elizabeth",FALSE,"Esty, Elizabeth","CT",NA
"306",412558,6,"Lujan Grisham","Michelle",FALSE,"Lujan Grisham, Michelle","NM",NA
"307",412562,6,"Maloney","Sean",TRUE,"Maloney, Sean","NY",4.3
"308",412578,6,"Williams","Roger",FALSE,"Williams, Roger","TX",NA
"309",412580,6,"Vela","Filemon",FALSE,"Vela, Filemon","TX",NA
"310",400116,5,"Duncan","John",FALSE,"Duncan, John","TN",NA
"311",400145,5,"Garrett","Scott",TRUE,"Garrett, Scott","NJ",-3.1
"312",400175,5,"Hensarling","Jeb",FALSE,"Hensarling, Jeb","TX",NA
"313",400195,5,"Israel","Steve",TRUE,"Israel, Steve","NY",2.59999999999999
"314",400196,5,"Issa","Darrell",FALSE,"Issa, Darrell","CA",NA
"315",400316,5,"Peterson","Collin",FALSE,"Peterson, Collin","MN",NA
"316",400331,5,"Rahall","Nick",FALSE,"Rahall, Nick","WV",NA
"317",400381,5,"Smith","Lamar",FALSE,"Smith, Lamar","TX",NA
"318",412257,5,"Foster","Bill",FALSE,"Foster, Bill","IL",NA
"319",412271,5,"Coffman","Mike",FALSE,"Coffman, Mike","CO",NA
"320",412272,5,"Connolly","Gerald",FALSE,"Connolly, Gerald","VA",NA
"321",412292,5,"Luetkemeyer","Blaine",FALSE,"Luetkemeyer, Blaine","MO",NA
"322",412383,5,"Owens","William",FALSE,"Owens, William","NY",NA
"323",412395,5,"Brooks","Mo",FALSE,"Brooks, Mo","AL",NA
"324",412453,5,"Gibson","Christopher",FALSE,"Gibson, Christopher","NY",NA
"325",412464,5,"Lankford","James",FALSE,"Lankford, James","OK",NA
"326",412508,5,"Cotton","Tom",FALSE,"Cotton, Tom","AR",NA
"327",412513,5,"Cook","Paul",FALSE,"Cook, Paul","CA",NA
"328",412535,5,"Enyart","William",TRUE,"Enyart, William","IL",1.5
"329",412540,5,"Messer","Luke",FALSE,"Messer, Luke","IN",NA
"330",412566,5,"Joyce","David",TRUE,"Joyce, David","OH",-3.3
"331",412569,5,"Perry","Scott",FALSE,"Perry, Scott","PA",NA
"332",412571,5,"Cartwright","Matthew",FALSE,"Cartwright, Matthew","PA",NA
"333",412572,5,"Rice","Tom",FALSE,"Rice, Tom","SC",NA
"334",412574,5,"Weber","Randy",FALSE,"Weber, Randy","TX",NA
"335",400008,4,"Andrews","Robert",FALSE,"Andrews, Robert","NJ",NA
