id,total_votes,missed_votes,percent,percentile,first_vote_date,last_vote_date
400366,14852,600,4.03985995152,71.9101123596,1990-03-28,2013-01-01
400227,10969,442,4.02953778831,71.6853932584,1997-01-07,2013-01-01
400290,9782,392,4.00736045798,71.4606741573,1999-01-06,2013-01-01
400036,12769,511,4.00187955204,71.2359550562,1991-01-03,2013-01-01
400160,13431,537,3.99821308912,71.0112359551,1993-01-05,2013-01-01
400060,8568,341,3.97992530345,70.7865168539,2001-01-03,2013-01-01
400645,6351,252,3.96787907416,70.5617977528,2005-01-04,2013-01-01
412195,5137,203,3.95172279541,70.3370786517,2007-01-04,2013-01-01
412432,1606,63,3.92278953923,70.1123595506,2011-01-05,2013-01-01
400024,9782,382,3.90513187487,69.8876404494,1999-01-06,2013-01-01
400030,13431,515,3.83441292532,69.6629213483,1993-01-05,2013-01-01
400245,12309,469,3.81022016411,69.4382022472,1995-01-04,2013-01-01
400009,9178,348,3.79167574635,69.2134831461,1999-11-18,2013-01-01
400100,16196,611,3.77253642875,68.9887640449,1987-01-06,2013-01-01
400652,6351,239,3.7631868997,68.7640449438,2005-01-04,2013-01-01
400010,13431,504,3.75251284342,68.5393258427,1993-01-05,2013-01-01
400279,8173,306,3.74403523798,68.3146067416,2001-10-23,2013-01-01
412454,1606,60,3.73599003736,68.0898876404,2011-01-05,2013-01-01
412252,4412,164,3.71713508613,67.8651685393,2007-07-25,2013-01-01
400402,13295,487,3.66303121474,67.6404494382,1993-04-20,2013-01-01
400147,7572,277,3.65821447438,67.4157303371,2003-01-07,2013-01-01
400151,7572,266,3.51294241944,66.9662921348,2003-01-07,2013-01-01
400006,7572,266,3.51294241944,66.9662921348,2003-01-07,2013-01-01
400082,15446,542,3.50899909362,66.7415730337,1988-08-11,2013-01-01
400321,8568,299,3.48972922502,66.5168539326,2001-01-03,2013-01-01
400639,6351,221,3.47976696583,66.2921348315,2005-01-04,2013-01-01
400235,12309,427,3.46900641807,66.0674157303,1995-01-04,2013-01-01
400331,21534,744,3.45500139315,65.8426966292,1977-01-04,2013-01-01
400297,7572,261,3.44690966719,65.6179775281,2003-01-07,2013-01-01
400134,8568,291,3.39635854342,65.393258427,2001-01-03,2013-01-01
400249,8173,277,3.38920836902,65.1685393258,2001-10-23,2013-01-01
412307,3261,110,3.3731984054,64.9438202247,2009-01-06,2013-01-01
400633,6231,210,3.37024554646,64.7191011236,2005-01-04,2012-07-31
400644,6351,214,3.36954810266,64.4943820225,2005-01-04,2013-01-01
412442,1606,54,3.36239103362,64.2696629213,2011-01-05,2013-01-01
400221,13431,449,3.34301243392,64.0449438202,1993-01-05,2013-01-01
400198,11396,376,3.2994032994,63.8202247191,1995-12-15,2012-11-16
400086,8568,282,3.29131652661,63.595505618,2001-01-03,2013-01-01
400042,10969,360,3.28197647917,63.3707865169,1997-01-07,2013-01-01
400196,8568,280,3.26797385621,63.1460674157,2001-01-03,2013-01-01
400121,10969,357,3.25462667518,62.9213483146,1997-01-07,2013-01-01
400176,16206,527,3.25188201901,62.6966292135,1987-01-06,2013-01-01
400209,12309,399,3.24153058738,62.4719101124,1995-01-04,2013-01-01
412480,1606,52,3.23785803238,62.2471910112,2011-01-05,2013-01-01
400660,6351,204,3.21209258385,62.0224719101,2005-01-04,2013-01-01
400087,9782,314,3.20997750971,61.797752809,1999-01-06,2013-01-01
400247,12645,405,3.20284697509,61.5730337079,1994-05-17,2013-01-01
400171,12305,392,3.18569687119,61.3483146067,1995-01-04,2013-01-01
412254,4156,132,3.17613089509,61.1235955056,2007-10-18,2013-01-01
412424,1606,51,3.17559153176,60.6741573034,2011-01-05,2013-01-01
412445,1606,51,3.17559153176,60.6741573034,2011-01-05,2013-01-01
400431,12309,389,3.16028921927,60.4494382022,1995-01-04,2013-01-01
412281,3261,102,3.127874885,60.2247191011,2009-01-06,2013-01-01
400152,9782,303,3.09752606829,60.0,1999-01-06,2013-01-01
400057,13431,416,3.09731218822,59.7752808989,1993-01-05,2013-01-01
412269,3261,101,3.09720944496,59.5505617978,2009-01-06,2013-01-01
400124,13431,413,3.07497580225,59.3258426966,1993-01-05,2013-01-01
400381,16202,496,3.06135045056,59.1011235955,1987-01-06,2013-01-01
412228,5137,157,3.05625851664,58.8764044944,2007-01-04,2013-01-01
400081,13259,405,3.05452899917,58.6516853933,1983-01-03,2013-01-01
412396,1606,49,3.05105853051,58.4269662921,2011-01-05,2013-01-01
400246,15267,465,3.04578502653,58.202247191,1989-01-03,2013-01-01
412258,3813,116,3.04222397063,57.9775280899,2008-03-13,2013-01-01
412010,5898,179,3.03492709393,57.7528089888,2005-09-06,2013-01-01
400076,17095,517,3.02427610412,57.5280898876,1985-01-03,2013-01-01
400352,7572,228,3.01109350238,57.3033707865,2003-01-07,2013-01-01
400183,13431,404,3.00796664433,57.0786516854,1993-01-05,2013-01-01
412211,5137,154,2.99785867238,56.8539325843,2007-01-04,2013-01-01
400640,6351,190,2.9916548575,56.6292134831,2005-01-04,2013-01-01
400376,9782,291,2.97485176855,56.404494382,1999-01-06,2013-01-01
412447,1606,47,2.92652552927,56.1797752809,2011-01-05,2013-01-01
400252,13431,393,2.92606656243,55.9550561798,1993-01-05,2013-01-01
412265,3261,95,2.91321680466,55.7303370787,2009-01-06,2013-01-01
400617,11144,322,2.88944723618,55.5056179775,1979-01-15,2013-01-01
400343,15267,440,2.88203314338,55.2808988764,1989-01-03,2013-01-01
400301,14207,401,2.82255226297,55.0561797753,1991-06-18,2013-01-01
400237,10230,288,2.81524926686,54.8314606742,1998-04-21,2013-01-01
412327,3268,92,2.81517747858,54.606741573,2008-12-10,2013-01-01
400090,11292,317,2.80729720156,54.3820224719,1996-04-25,2013-01-01
400052,7572,211,2.78658214474,54.1573033708,2003-01-07,2013-01-01
